Vehicle_ID,Car_Model,Battery_Type,Battery_Capacity_kWh,Vehicle_Age_Months,Total_Charging_Cycles,Avg_Temperature_C,Fast_Charge_Ratio,Avg_Discharge_Rate_C,Driving_Style,Internal_Resistance_Ohm,SoH_Percent,Battery_Status,,
6fdcb6,Ford Mustang Mach-E,NMC,88,86,1010,.,0.19,1.87,Moderate,0.0506,89.85,Healthy,,
df875dd6,Hyundai Ioniq 5,NMC,72.6,41,59,8.4,0.9,2.49,Moderate,0.096,9.7,Healthy,,
1ddd64f,Tesla Model ,NMC,75,41,19,2.7,0.5,1,Aggressive,0.001,96.16,Healthy,,
6a9da820,BYD Atto ,LFP,60,74,771,1.2,0.08,0.9,Aggressive,0.0276,95.04,Healthy,,
fb989b9f,Hyundai Ioniq 5,NMC,72.6,61,595,28,0.96,0.99,Moderate,,92,Healthy,,
597e5102,Wuling Air EV,LFP,26,4,90,15.4,0.91,2.45,Moderate,0.027,97.4,Healthy,,
75a5edc7,Hyundai Ioniq 5,,72.6,4,19,2.2,0.91,,Moderate,0.0267,97.84,Healthy,,
9d454e0,Wuling Air EV,LFP,26,96,87,24,0.51,1.7,Moderate,0.025,94.5,Healthy,,
b5e8d12c,Ford Mustang Mach-E,,88,54,29,24,0.72,,Moderate,0.01,96.02,Healthy,,
f92607e,Hyundai Ioniq 5,NMC,72.6,47,565,7.1,0.22,2.15,Aggressive,0.046,92.4,Healthy,,
2615f4ff,Hyundai Ioniq 5,NMC,72.6,21,21,15.8,0.84,,Aggressive,0.0267,97.2,Healthy,,
0e12e28,,NMC,72.6,56,806,2.2,0.1,1.75,Conservative,0.0424,92.67,Healthy,,
f8bce022,Wuling Air EV,LFP,26,76,2,17,0.45,0.6,Aggressive,0.041,92.47,Healthy,,
a6bfc0,BYD Atto ,,60,77,845,.,0.17,,Aggressive,0,9.42,Healthy,,
1482e1d,Tesla Model ,NMC,75,1,105,41.2,0.95,0.94,Aggressive,0.0276,97.25,Healthy,,
22601a21,Hyundai Ioniq 5,NMC,72.6,7,47,1.5,0.7,,Moderate,0.0206,99.62,Healthy,,
bafcfe50,BYD Atto ,LFP,60,56,746,18.8,0.29,1.04,Moderate,0.0284,95.99,Healthy,,
5edc94c8,,LFP,60,8,109,27.7,0.22,1.28,Moderate,0.024,98.18,Healthy,,
ee918ecd,Tesla Model ,NMC,75,88,577,,0.26,1.79,Moderate,0.04,95.5,Healthy,,
45a64798,Wuling Air EV,LFP,26,9,207,27.1,0.44,1.7,Aggressive,0.0224,98.89,Healthy,,
0e80806,,LFP,60,61,646,19.9,0.88,,Moderate,0.029,95.1,Healthy,,
851a1ca,,NMC,72.6,62,702,25.7,0.48,1.25,Conservative,0.02,9.76,Healthy,,
04177b,Ford Mustang Mach-E,NMC,88,8,6,19.7,0.02,0.78,Moderate,0.057,94.29,Healthy,,
da5a6cfc,Ford Mustang Mach-E,,88,88,1071,20,0.26,2.5,Moderate,,90.4,Healthy,,
204ade7,Wuling Air EV,LFP,26,8,6,,0.96,,Moderate,0.022,99.28,Healthy,,
df9d6cb1,Hyundai Ioniq 5,NMC,72.6,0,57,29,0.87,1.91,Moderate,0.04,95.18,Healthy,,
628e108e,Ford Mustang Mach-E,,88,5,652,0.9,0.8,0.95,Moderate,0.0412,92.69,Healthy,,
8a6f7c2,Tesla Model ,,75,,185,45.8,0.8,0.88,Moderate,0.0294,96.64,Healthy,,
566c516d,BYD Atto ,LFP,60,67,622,27.7,0.04,0.9,Conservative,0.0268,96.75,Healthy,,
70e07bdf,Ford Mustang Mach-E,NMC,88,1,225,5.4,0.94,1.6,Moderate,0.0291,97.2,Healthy,,
0da1c70,Tesla Model ,NMC,75,20,11,14.9,0.7,0.95,Aggressive,0.0251,98.5,Healthy,,
7d8ec79c,BYD Atto ,,60,94,907,0,0.14,,Moderate,0.06,92.2,Healthy,,
fff22f58,,NMC,72.6,12,99,8.8,0.25,1.2,Conservative,0.024,99.19,Healthy,,
cd82ef15,Hyundai Ioniq 5,NMC,72.6,49,221,0.9,0.59,0.57,Aggressive,0.0269,97.5,Healthy,,
cc10aa,Hyundai Ioniq 5,NMC,72.6,27,164,19.6,0.5,1.7,Moderate,0.0254,98.09,Healthy,,
b48c69ef,,,72.6,62,486,11.9,0.86,,Moderate,0.07,9,Healthy,,
8a11f52,,LFP,60,54,,24.1,0.5,1.99,Conservative,0.0227,98.02,Healthy,,
d1ad7bd,Hyundai Ioniq 5,NMC,72.6,58,547,27.9,0.67,0.59,Moderate,0.079,9.68,Healthy,,
2996bcf,Hyundai Ioniq 5,NMC,72.6,14,74,20.2,0.66,1.5,Moderate,0.026,98.9,Healthy,,
0e9474b4,Ford Mustang Mach-E,NMC,88,27,56,27.6,0.19,2.7,,0.0284,97.64,Healthy,,
206d0c,Wuling Air EV,LFP,26,78,990,1.6,0.58,,Conservative,0.002,94.47,Healthy,,
f8d926eb,Hyundai Ioniq 5,,72.6,1,4,20.4,0.61,1,Aggressive,0.0206,99.96,Healthy,,
d956588,Wuling Air EV,LFP,26,8,55,16,0.24,1.79,Moderate,0.021,,Healthy,,
e764d64,,NMC,72.6,41,279,8.8,0.79,1.12,Moderate,0.0267,97.5,Healthy,,
8605a1cc,,NMC,88,57,452,,0.55,1.02,,,94.85,Healthy,,
894ebf52,Hyundai Ioniq 5,NMC,72.6,6,62,21.2,0.4,0.5,Moderate,0.0214,98.99,Healthy,,
6c9f667e,Wuling Air EV,LFP,26,62,45,28.7,0.74,1.2,Conservative,0.026,96.7,Healthy,,
94ad90d5,,NMC,72.6,89,750,27.7,0.41,0.67,Moderate,,9.05,Healthy,,
68d75210,Hyundai Ioniq 5,NMC,72.6,8,112,,0.52,0.9,Aggressive,0.028,98.1,Healthy,,
b96517c6,Wuling Air EV,,26,84,454,25.7,0.14,1.49,Conservative,0.0257,97.64,Healthy,,
4511717e,Hyundai Ioniq 5,NMC,72.6,4,211,,0.27,1.1,Moderate,0.0262,97.78,Healthy,,
1945987a,Tesla Model ,NMC,75,22,118,22.4,0.85,1.44,Aggressive,0.0252,98.2,Healthy,,
e5d6bc8,Tesla Model ,,75,50,2,,0.47,2.7,Conservative,0.025,98.49,Healthy,,
ea542c,,LFP,26,41,547,18.4,0.2,2.24,Conservative,0.022,97.67,Healthy,,
a5698fa1,Hyundai Ioniq 5,NMC,72.6,15,11,27.6,0.47,1.8,Conservative,0.0241,98.7,Healthy,,
4966ff1,Hyundai Ioniq 5,NMC,72.6,9,687,17.6,0.49,0.85,Moderate,0.07,92.67,Healthy,,
9af9842f,BYD Atto ,,60,71,48,9.6,0.89,2.18,Conservative,0.002,94.87,Healthy,,
ced17719,BYD Atto ,LFP,60,9,111,41.1,0,1.04,Conservative,0.067,92.25,Healthy,,
028f2b79,,LFP,60,70,72,2.2,0.08,,Conservative,0.021,98.61,Healthy,,
a9795cb0,Hyundai Ioniq 5,NMC,72.6,77,1154,2,0.5,2.11,Moderate,0.0571,87.19,Healthy,,
c012207c,Tesla Model ,NMC,75,48,595,17.8,0.87,1.02,,0.0424,9.06,Healthy,,
4ab0b5c,BYD Atto ,LFP,60,2,280,2.9,0.7,1.2,Aggressive,,97.96,Healthy,,
4f79b0c0,,NMC,72.6,86,590,41.1,0.6,0.5,Moderate,,91.88,Healthy,,
de14841d,BYD Atto ,LFP,60,24,11,25,0.42,,Moderate,0.0249,98.02,Healthy,,
bc68a02,Ford Mustang Mach-E,,88,89,1016,2.1,0.15,1.69,Moderate,0.0484,90.48,Healthy,,
f916b14f,Wuling Air EV,,26,1,41,22.6,0.78,1.75,Conservative,0.0248,97.87,Healthy,,
e1a6b6d,Wuling Air EV,LFP,26,26,22,0.2,0.65,2.4,Aggressive,0.026,97.71,Healthy,,
2e9f90c,Ford Mustang Mach-E,NMC,88,9,247,29.4,0.22,,Moderate,0.0258,97.5,Healthy,,
c77dc790,Hyundai Ioniq 5,NMC,72.6,57,50,,0.16,,Moderate,0,94.77,Healthy,,
090957c,Hyundai Ioniq 5,NMC,72.6,69,414,20.5,0.79,,Conservative,0.07,95.2,Healthy,,
886ea955,Ford Mustang Mach-E,NMC,88,60,50,,0.72,0.94,Moderate,,94.18,Healthy,,
ad05a4,Tesla Model ,NMC,75,1,267,18.4,0.79,1.67,Moderate,0.0277,97.46,Healthy,,
7b70808,Hyundai Ioniq 5,,72.6,85,127,22.9,0.69,0.74,Moderate,0.0609,86.66,Healthy,,
fe789bb,,NMC,75,52,209,,0.46,,Moderate,0.026,98.56,Healthy,,
9d5f1892,BYD Atto ,,60,10,15,,0.49,1.04,Conservative,0.0192,99.99,Healthy,,
f45c0ff,Tesla Model ,NMC,75,89,856,27.9,0.58,0.6,Aggressive,0.049,89.88,Healthy,,
81227d8a,,NMC,72.6,8,484,,0.44,0.89,Aggressive,0.096,9.9,Healthy,,
2817d54d,Hyundai Ioniq 5,NMC,72.6,2,60,17,0.76,,Moderate,0.028,96.04,Healthy,,
fba1d7,,NMC,88,5,257,14.9,0.42,,Moderate,0.028,96.99,Healthy,,
7e52d5c,BYD Atto ,LFP,60,10,14,,0.87,2.14,Moderate,0.0208,99.52,Healthy,,
54d42a1,Ford Mustang Mach-E,NMC,88,4,471,47.5,0.7,1.1,Aggressive,0.0545,88.11,Healthy,,
8b6a14e4,,LFP,26,27,295,2.2,0.77,1.89,Moderate,0.0215,98.05,Healthy,,
5644bfe,Hyundai Ioniq 5,NMC,72.6,79,468,,0.67,1.12,Conservative,0.027,95.6,Healthy,,
6954fc7f,Hyundai Ioniq 5,NMC,72.6,55,7,29.7,0.66,1.96,Moderate,0.01,95.89,Healthy,,
a0c6afd6,Tesla Model ,,75,57,670,6,0.9,2.09,Moderate,0.0488,90.49,Healthy,,
8c6ae77,Wuling Air EV,LFP,26,58,598,14,0.44,2.45,Moderate,0.0277,96.6,Healthy,,
8b774de5,BYD Atto ,LFP,60,12,61,2.4,0,1.28,Conservative,0.0205,,Healthy,,
84c609d6,,,60,81,24,2.9,0.81,0.76,Moderate,0.0255,97.82,Healthy,,
817d71e,BYD Atto ,LFP,60,4,4,29,0.51,1.67,Moderate,0.027,97.94,Healthy,,
2b2e1fba,Tesla Model ,NMC,75,2,279,0.7,0.11,1.67,Moderate,0.0295,97.05,Healthy,,
5ab558b,,,75,89,506,,0.48,2.26,Moderate,0.074,94.6,Healthy,,
0bcd457,,LFP,26,5,152,17.6,0.58,1.25,Aggressive,0.0201,98.79,Healthy,,
a88a7a,,NMC,72.6,84,529,28.6,0.85,1.74,Aggressive,0.045,92,Healthy,,
cdc2ee7,BYD Atto ,LFP,60,6,66,5.7,0.26,,Conservative,0.0285,95.9,Healthy,,
a2572a28,BYD Atto ,LFP,60,14,107,2.8,0.56,0.97,Moderate,0.018,99.86,Healthy,,
7168cf1,,,72.6,55,17,24.8,0.05,,Conservative,0.0272,97.44,Healthy,,
25796b7,,NMC,75,58,859,4.4,0.8,0.5,Conservative,0.0442,91.85,Healthy,,
94eb7,Wuling Air EV,LFP,26,29,28,18.8,0.91,,Moderate,0.0266,97.2,Healthy,,
f6cd7d,Tesla Model ,NMC,75,64,51,41.7,0.95,0.51,Conservative,,91.74,Healthy,,
509154,Wuling Air EV,LFP,26,56,64,22.8,0.78,1.2,Conservative,,96.6,Healthy,,
54741aec,,,60,74,88,22.7,0.58,,Conservative,0.012,94.6,Healthy,,
e71770,,LFP,60,62,74,29.5,0.14,0.75,Moderate,0.0279,96.16,Healthy,,
ad1f2f41,Wuling Air EV,LFP,26,91,116,8.9,0.25,1.71,Aggressive,,92.12,Healthy,,
d676fb88,Ford Mustang Mach-E,NMC,88,,29,11.1,0.14,0.6,Conservative,0.0248,98.1,Healthy,,
2169129,Wuling Air EV,,26,1,6,19.9,0.5,0.5,Conservative,0.0187,99.54,Healthy,,
08d641db,,LFP,26,84,1211,19.5,0.79,2.28,Conservative,0,92.4,Healthy,,
f1dbbced,BYD Atto ,LFP,60,90,716,24.1,0.64,2.2,Moderate,0.0287,95.25,Healthy,,
7b01f206,BYD Atto ,LFP,60,77,49,26.8,0.45,1.6,Conservative,0.0249,97.94,Healthy,,
2cc06a7c,,NMC,72.6,41,557,22.9,0.28,2.29,Moderate,0.051,94.66,Healthy,,
6f94c8c,,LFP,26,7,1078,,0.04,1.4,,,94.55,Healthy,,
7fd05f97,,NMC,88,5,1,22.1,0.75,,,0.0216,99.95,Healthy,,
f0f0150,Hyundai Ioniq 5,NMC,72.6,10,68,26,0.48,0.81,Moderate,0.0219,99.22,Healthy,,
acfaaaee,BYD Atto ,LFP,60,5,227,9.5,0.7,,Moderate,0.024,97.9,Healthy,,
fa85487a,Hyundai Ioniq 5,NMC,72.6,66,616,20.9,0.72,,Conservative,0.097,9.9,Healthy,,
8a509dff,Hyundai Ioniq 5,NMC,72.6,24,12,11.9,0.29,1.22,Aggressive,0.016,95.99,Healthy,,
edee6b,,LFP,60,4,4,9.4,0.47,,Moderate,0.0267,97.12,Healthy,,
4bbe2d2,Tesla Model ,NMC,75,67,492,5,1,1.11,Moderate,0.041,92.8,Healthy,,
ed87917,Wuling Air EV,LFP,26,57,254,6,0.2,1.02,Aggressive,0.025,97.5,Healthy,,
80b18d6,Ford Mustang Mach-E,NMC,88,48,296,18.1,0.84,,Conservative,0.029,96.7,Healthy,,
49b2514,Ford Mustang Mach-E,,88,16,82,1.2,0.19,1.51,Aggressive,0.0219,99.82,Healthy,,
677a69,BYD Atto ,LFP,60,46,52,20,0.8,,Moderate,0.0259,96.92,Healthy,,
96fd817d,,NMC,88,,42,,0.87,1.47,Moderate,0,95.85,Healthy,,
599cba9c,Hyundai Ioniq 5,NMC,72.6,14,11,8.8,0.48,1.84,Aggressive,0.0251,98.18,Healthy,,
ec9c4bad,Ford Mustang Mach-E,NMC,88,81,76,25.6,0.98,0.8,Aggressive,,89.41,Healthy,,
8a9994ec,Tesla Model ,,75,51,729,,0.8,0.62,Conservative,,92.76,Healthy,,
db8561b0,,LFP,60,90,846,27.4,0.6,1.1,Moderate,0.029,95.07,Healthy,,
bd845eeb,BYD Atto ,LFP,60,81,556,1.2,0.85,1.78,,0.0294,95.61,Healthy,,
ce0fcecb,BYD Atto ,LFP,60,74,429,22.5,0.06,1.2,Aggressive,0.0277,96.52,Healthy,,
7ab76c,Ford Mustang Mach-E,NMC,88,9,441,,0.71,1.2,Moderate,0.06,95.01,Healthy,,
c85e267f,Tesla Model ,,75,55,442,,0.98,2.5,Conservative,,95.26,Healthy,,
e8e0bb9,Tesla Model ,NMC,75,9,51,1.1,0.44,2.06,Conservative,0.029,95.28,Healthy,,
fb96477f,,,75,5,601,25.5,0.66,2.44,Aggressive,0.0428,92.59,Healthy,,
56bea04,Hyundai Ioniq 5,NMC,72.6,78,910,28.1,0.64,1.49,Moderate,0.0502,89.57,Healthy,,
00d178ff,Wuling Air EV,LFP,26,8,191,18.7,0.1,1.75,Conservative,0.022,99.17,Healthy,,
899abf,Hyundai Ioniq 5,NMC,72.6,46,461,0.8,0.6,,Moderate,,94.77,Healthy,,
92e61591,,NMC,88,82,1148,2.1,0.59,1.27,Conservative,0.056,88.75,Healthy,,
4afb5d,Ford Mustang Mach-E,NMC,88,50,70,26.1,0.61,1.8,Conservative,0.081,9.8,Healthy,,
846c5b06,Ford Mustang Mach-E,NMC,88,69,2,25.7,0.7,1.77,Moderate,,96.55,Healthy,,
29c82fe4,,,60,48,491,,0.84,0.67,Moderate,0.0289,95.68,Healthy,,
4.20E+08,Hyundai Ioniq 5,NMC,72.6,19,260,,0.6,,Conservative,,96.27,Healthy,,
c94c0c91,Ford Mustang Mach-E,NMC,88,44,259,14.4,0.05,0.9,Aggressive,0.0257,97.87,Healthy,,
88adacc,BYD Atto ,,60,1,12,19.9,0.75,1.8,Aggressive,0.021,98.95,Healthy,,
92a5e055,,NMC,72.6,2,41,18.1,0.05,0.88,Conservative,0.0259,97.71,Healthy,,
5a8198d,,,60,18,16,2.1,0.89,1.98,Moderate,0.0215,99.45,Healthy,,
ed98027b,Ford Mustang Mach-E,NMC,88,18,146,4.6,0.02,0.77,Aggressive,0.0279,97.59,Healthy,,
4ab61e0,BYD Atto ,LFP,60,85,615,20.9,0.59,,Moderate,0.0289,95.76,Healthy,,
be7e602,BYD Atto ,LFP,60,26,29,28.6,0.7,,Conservative,0.024,98.12,Healthy,,
cdb25f1,,LFP,26,67,781,21,0.71,1.9,Moderate,0.011,94.6,Healthy,,
25798049,Hyundai Ioniq 5,NMC,72.6,14,20,26.7,0.46,1.8,Aggressive,0.0281,97.46,Healthy,,
1c206a72,,LFP,60,,426,20.2,0,0.97,Moderate,0.0255,97.74,Healthy,,
d255669,Tesla Model ,NMC,75,75,796,28.6,0,,Conservative,0.06,9.4,Healthy,,
f6912511,,LFP,26,89,477,28.6,0.45,1.4,Conservative,0.0256,97.49,Healthy,,
1d10b41d,Ford Mustang Mach-E,NMC,88,67,901,1.8,0.77,2.41,Moderate,0.0528,89.47,Healthy,,
7cbea11,,NMC,75,60,1,,0.09,,Aggressive,0.05,95.15,Healthy,,
97c5a7,,,88,14,188,26.5,0.16,1.09,Moderate,0.0262,97.96,Healthy,,
2bafee0,Hyundai Ioniq 5,,72.6,5,1,9,0.49,1.71,Conservative,0.0202,,Healthy,,
e4e54def,Hyundai Ioniq 5,,72.6,,289,,0.96,1.9,Aggressive,0.022,96.11,Healthy,,
1571418,Hyundai Ioniq 5,NMC,72.6,4,487,4.1,0.85,,Moderate,0.0418,9.5,Healthy,,
8de5b025,Wuling Air EV,LFP,26,66,694,,0.69,,Aggressive,,94.56,Healthy,,
2ab2cb4,BYD Atto ,LFP,60,2,28,4.1,0.89,1.59,Conservative,0.02,99.62,Healthy,,
8475f50c,Wuling Air EV,LFP,26,4,452,27.9,0.08,2.6,Conservative,0.02,97.8,Healthy,,
fc490d8,,NMC,88,6,59,4.4,0.2,,Aggressive,,96.1,Healthy,,
5c0b94,Hyundai Ioniq 5,NMC,72.6,77,674,24.8,0.04,,Aggressive,,9.7,Healthy,,
c0a56bd9,Ford Mustang Mach-E,NMC,88,44,511,19.7,0.94,,Moderate,0.084,94.61,Healthy,,
a0d581cb,Tesla Model ,NMC,75,50,269,,0.8,,Aggressive,0,95.95,Healthy,,
d0086af1,BYD Atto ,,60,21,11,,0.4,1.41,Conservative,0.024,98.67,Healthy,,
c587ad5,,NMC,75,51,4,1,0.9,1.4,Conservative,0.011,96.28,Healthy,,
79d2aa1f,Wuling Air EV,LFP,26,18,189,18.7,0.9,,Aggressive,0.025,98.44,Healthy,,
5a42c85,,,75,9,89,18.6,0.89,1.6,Conservative,0.0214,98.9,Healthy,,
c7789c28,BYD Atto ,LFP,60,28,126,28.8,0.51,,Aggressive,0.021,99,Healthy,,
b722f212,,LFP,60,2,20,,0.46,,Conservative,0.0227,98.67,Healthy,,
d5b7bb0e,Wuling Air EV,LFP,26,41,602,1,0.5,,Moderate,0.0294,96.09,Healthy,,
d9a417,Tesla Model ,NMC,75,45,454,0,0.9,,Conservative,0.017,95.85,Healthy,,
4e5fea,Wuling Air EV,LFP,26,76,550,2,0.4,2.22,Moderate,0.0257,96.89,Healthy,,
fd814a2,Hyundai Ioniq 5,,72.6,5,69,10.8,0,1.24,Conservative,0.029,97,Healthy,,
d745b71c,BYD Atto ,LFP,60,80,709,0.9,0.84,0.9,Conservative,0.0299,94.74,Healthy,,
eca46e85,Tesla Model ,NMC,75,55,715,17.9,0.41,1.09,Moderate,0.07,9.27,Healthy,,
0d0f61,Ford Mustang Mach-E,,88,15,178,22.4,0.2,1.57,Conservative,,98.04,Healthy,,
c0e12191,Wuling Air EV,LFP,26,75,1050,19.4,0.25,2.17,Aggressive,0.05,9.5,Healthy,,
1260165,,LFP,60,47,290,16.8,0.7,0.82,,0.022,98.66,Healthy,,
e60f11f,Wuling Air EV,,26,,490,1.8,0.98,1.67,Conservative,0.0258,96.81,Healthy,,
26a17,BYD Atto ,,60,90,562,19.6,0.9,,Moderate,,95.29,Healthy,,
2d118,Wuling Air EV,LFP,26,56,56,7.6,0.2,2.42,Conservative,,95.2,Healthy,,
f0b6aa,Ford Mustang Mach-E,NMC,88,59,56,9.8,0.47,1.6,Moderate,0.01,95.72,Healthy,,
e8a4788f,BYD Atto ,LFP,60,44,275,2.6,0.56,2.5,Moderate,0.025,97.87,Healthy,,
f1e484,BYD Atto ,,60,0,296,18.7,0.61,0.6,Conservative,0.0244,98.54,Healthy,,
ac7ea05,Tesla Model ,,75,50,79,,0,0.76,Moderate,0.0427,92.65,Healthy,,
e6abef5a,,NMC,72.6,92,4,7.2,0.5,1.49,Conservative,0.027,95.82,Healthy,,
7505d9e,,LFP,26,21,190,4.7,0.07,0.52,Moderate,,99.1,Healthy,,
c7c8a0e6,Tesla Model ,NMC,75,79,688,25,0,2.8,Moderate,0.076,94,Healthy,,
270c182d,,,26,6,516,,0.8,0.66,Moderate,0.0269,96.6,Healthy,,
79de78bd,Wuling Air EV,LFP,26,8,888,20.2,0.59,0.9,Moderate,0.009,94,Healthy,,
c0144f,,NMC,88,,54,28.9,0.67,,Moderate,0.051,94.78,Healthy,,
5f1ebae6,BYD Atto ,,60,26,15,,0.87,2.2,Aggressive,0.0255,97.4,Healthy,,
c07851fb,Hyundai Ioniq 5,NMC,72.6,86,949,9.5,0.5,1.79,Moderate,0.0567,87.64,Healthy,,
144ea64,Wuling Air EV,,26,62,51,49.9,0.82,,Conservative,0.044,92.82,Healthy,,
0ba6a7bc,BYD Atto ,,60,2,191,28,0.14,2.2,Aggressive,0.0229,98.1,Healthy,,
a81ed,Tesla Model ,NMC,75,8,695,26.8,0.85,,Conservative,0.0427,92.48,Healthy,,
9fe50c2d,Hyundai Ioniq 5,NMC,72.6,91,860,0.4,0.29,,Moderate,0.046,92.6,Healthy,,
cfe571a,BYD Atto ,LFP,60,54,61,4.2,0.74,1.95,Moderate,0,9.2,Healthy,,
64ad02b4,Tesla Model ,NMC,75,57,547,29.7,0.96,1.41,Moderate,,9.1,Healthy,,
a2466061,Wuling Air EV,LFP,26,66,71,20.2,0.1,1.55,Aggressive,0.027,96.4,Healthy,,
28a481e9,Hyundai Ioniq 5,NMC,72.6,5,704,27.9,0.51,1,,0.0441,92.5,Healthy,,
b7667919,Hyundai Ioniq 5,NMC,72.6,7,526,,0.99,1.6,Moderate,,94.64,Healthy,,
bcaf0b48,Ford Mustang Mach-E,NMC,88,46,414,17.9,0.6,1.1,Moderate,,96.51,Healthy,,
1fca766a,Hyundai Ioniq 5,NMC,72.6,89,526,18,0.09,,Moderate,0.01,95.8,Healthy,,
b458484e,Tesla Model ,,75,14,102,,0.9,2,Moderate,0.028,98.98,Healthy,,
dcb19dda,BYD Atto ,LFP,60,72,861,1.6,0.25,1.2,Conservative,0.01,94.2,Healthy,,
68fbbf8e,Ford Mustang Mach-E,,88,25,29,22.1,0.8,0.87,Moderate,0.026,97.55,Healthy,,
5c1cf,Wuling Air EV,,26,90,928,2.5,0.06,1.47,Moderate,,94.91,Healthy,,
c781faa9,Wuling Air EV,LFP,26,89,510,7.1,0.92,,Conservative,0.0299,94.68,Healthy,,
746fdf8e,BYD Atto ,LFP,60,8,50,27.4,0.52,1.51,Conservative,0.0219,99.28,Healthy,,
96b8e48,Wuling Air EV,LFP,26,48,208,22.6,0.8,1.4,,0.02,98.65,Healthy,,
dcc701,Ford Mustang Mach-E,,88,51,79,5.2,0.18,0.8,Moderate,0.09,9.14,Healthy,,
64d99d6,BYD Atto ,LFP,60,7,446,,0.2,1.9,Moderate,0.0262,97.24,Healthy,,
290d0688,Tesla Model ,NMC,75,5,767,27,0.01,1.92,Aggressive,0.042,91.99,Healthy,,
6bca9c,,NMC,72.6,22,221,,0.15,1.2,Moderate,0.026,98.28,Healthy,,
8a47b66a,Ford Mustang Mach-E,NMC,88,78,60,2,0.71,,Aggressive,0.011,95.7,Healthy,,
5970f08,Wuling Air EV,LFP,26,75,876,,0.55,1.46,Moderate,0.017,94.5,Healthy,,
2dc25f26,Wuling Air EV,,26,21,148,10.1,0.74,0.74,Conservative,0.0222,99.17,Healthy,,
5de64dcd,,NMC,75,96,771,12.4,0.11,2.17,Moderate,0.055,94.79,Healthy,,
52d189,Tesla Model ,NMC,75,81,866,29.1,0.55,,Moderate,0.0477,91.05,Healthy,,
9fb7700,Tesla Model ,NMC,75,70,962,,0.08,0.9,Moderate,0.048,92.24,Healthy,,
f0dd117,Ford Mustang Mach-E,NMC,88,7,48,14.4,0.49,0.54,Conservative,,99.75,Healthy,,
5fe958d7,Tesla Model ,NMC,75,10,127,22.4,0.28,1,Conservative,0.022,99.41,Healthy,,
eb608ed,Wuling Air EV,LFP,26,6,51,27.5,0.4,,Conservative,0.0198,,Healthy,,
d86d056e,Tesla Model ,NMC,75,1,77,9.8,0.98,2.26,Moderate,0.048,95.25,Healthy,,
6aa5082a,,LFP,26,90,978,7.7,0.1,1.94,Conservative,0.016,9.88,Healthy,,
ae7f49,Tesla Model ,NMC,75,22,191,11.5,0.5,1.5,Aggressive,0.0271,98.16,Healthy,,
6651d6,Wuling Air EV,LFP,26,4,,28.4,0.05,,Moderate,0.022,98.85,Healthy,,
bbb88d52,Ford Mustang Mach-E,NMC,88,50,84,6,0.4,,Moderate,0.047,95.4,Healthy,,
d9da0249,Ford Mustang Mach-E,NMC,88,14,117,2.4,0.42,1.2,Aggressive,0.0257,97.71,Healthy,,
a6cf0d4,Tesla Model ,NMC,75,41,219,2.2,0.69,0.98,Moderate,,97.78,Healthy,,
8e97ec7,Hyundai Ioniq 5,NMC,72.6,61,896,2.8,0.82,,,0.0514,89.98,Healthy,,
0a1b688,Tesla Model ,,75,86,764,22.7,0.69,1.51,Moderate,0.049,92.12,Healthy,,
10de6a8,Tesla Model ,NMC,75,7,77,1.6,0.77,1.56,Moderate,0.02,99.4,Healthy,,
4e5c644,Ford Mustang Mach-E,NMC,88,89,100,28.4,0.25,1.01,Conservative,0.047,91.01,Healthy,,
d7e8d00d,Hyundai Ioniq 5,NMC,72.6,56,625,26,0.89,1.69,Conservative,,9,Healthy,,
d7218ee1,BYD Atto ,LFP,60,22,249,19.9,0.6,,Moderate,0.022,98.17,Healthy,,
f19eaa9,,LFP,60,7,149,,0.97,1.07,Conservative,0.02,98.87,Healthy,,
1c144cb6,Wuling Air EV,LFP,26,71,97,2.1,0.05,,Conservative,0.0271,96.25,Healthy,,
da4afa80,,NMC,88,76,694,29.4,0.16,0.64,Moderate,0.068,94.5,Healthy,,
0f9a66,Wuling Air EV,LFP,26,17,161,26.9,0.4,1.82,Moderate,0.022,98.24,Healthy,,
74cf55f,Ford Mustang Mach-E,NMC,88,20,149,,0.95,,Conservative,0.0245,99.45,Healthy,,
6d72a669,Tesla Model ,NMC,75,22,142,,0.71,,Conservative,,98.44,Healthy,,
d8b6424,Wuling Air EV,LFP,26,89,869,17,0.4,,Moderate,,94.02,Healthy,,
d1da985a,Tesla Model ,NMC,75,78,101,25.8,0.25,1.14,Moderate,0.0472,90.9,Healthy,,
4521084,,NMC,88,72,471,15.9,0.94,2.4,Conservative,0.05,94.89,Healthy,,
d7dde58c,Tesla Model ,NMC,75,75,1067,17.9,0,1.8,Moderate,0.0457,91.4,Healthy,,
f5992dc,Wuling Air EV,LFP,26,5,1,24.7,0.7,2.07,Moderate,0.0222,,Healthy,,
d6ca7ff,Wuling Air EV,LFP,26,11,128,6.2,0.89,1.68,Moderate,0.022,98.57,Healthy,,
55f1125d,,LFP,60,26,10,,0.4,,Aggressive,0.0265,96.9,Healthy,,
2249157,BYD Atto ,,60,14,70,0.2,0.52,,Moderate,,99.9,Healthy,,
a5ce1975,Wuling Air EV,LFP,26,66,7,2.1,0.08,,Moderate,0.0297,95.65,Healthy,,
bfb650db,Tesla Model ,NMC,75,2,194,21.6,0.15,,Conservative,0.022,98.96,Healthy,,
